"id","nameEn","nameRu","nameHy","descriptionEn","descriptionRu","descriptionHy","createdAt","updatedAt"
"164","Threading Upper Lip","Коррекция верхней губы ниткой","Վերին շրթունքի ձողի ձևավորում","Upper lip threading","Коррекция верхней губы ниткой","Վերին շրթունքի ձողի ձևավորում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"165","Microblading","Микроблейдинг","Միկրոբլեյդինգ","Semi-permanent eyebrow tattoo","Микроблейдинг","Միկրոբլեյդինգ","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"166","Eyelash Lamination","Ламинирование ресниц","Թարթիչների լամինացում","Lash lamination treatment","Ламинирование ресниц","Թարթիչների լամինացում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"167","Eyelash Tint","Окрашивание ресниц","Թարթիչների ներկում","Tint eyelashes","Окрашивание ресниц","Թարթիչների ներկում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"168","Brow Tint","Окрашивание бровей","Հոնքերի ներկում","Tint eyebrows","Окрашивание бровей","Հոնքերի ներկում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"169","Chemical Peel","Химический пилинг","Քիմիական պիլինգ","Chemical facial peel","Химический пилинг","Քիմիական դեմքի պիլինգ","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"170","Enzyme Peel","Энзимный пилинг","Էնզիմային պիլինգ","Enzyme facial peel","Энзимный пилинг","Էնզիմային դեմքի պիլինգ","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"171","Microdermabrasion","Микродермабразия","Միկրոդերմաբրազիա","Exfoliating facial treatment","Микродермабразия","Միկրոդերմաբրազիա","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"172","Dermaplaning","Дермопланинг","Դերմոպլանինգ","Remove dead skin & peach fuzz","Дермопланинг","Մեռած մաշկի ու թարթիչների հեռացում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"173","LED Facial","LED уход за лицом","LED դեմքի խնամք","LED light facial treatment","LED уход за лицом","LED դեմքի խնամք","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"174","Massage Facial","Массаж лица","Դեմքի մերսում","Facial massage","Массаж лица","Դեմքի մերսում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"175","Acne Treatment","Лечение акне","Մաշկի հանածուկ բուժում","Treat acne spots","Лечение акне","Մաշկի պզուկների բուժում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"176","Hydrating Facial","Увлажняющая процедура","Ջրային դեմքի խնամք","Moisturizing facial","Увлажняющая процедура","Ջրային դեմքի խնամք","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"177","Brightening Facial","Отбеливающая процедура","Լուսավորիչ դեմքի խնամք","Brighten skin","Отбеливающая процедура","Մաշկի լուսավորություն","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"178","Anti-aging Facial","Антивозрастная процедура","Մաշկի տարիքային խնամք","Reduce signs of aging","Антивозрастная процедура","Տարիքային նշանների նվազեցում","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"179","Hand Paraffin","Парафинотерапия рук","Ձեռքերի պարանոֆին","Paraffin hand treatment","Парафинотерапия рук","Ձեռքերի պարանոֆին","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"180","Foot Paraffin","Парафинотерапия ног","Ոտքերի պարանոֆին","Paraffin foot treatment","Парафинотерапия ног","Ոտքերի պարանոֆին","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"181","Makeup Consultation","Консультация по макияжу","Շպարի խորհրդատվություն","Makeup advice session","Консультация по макияжу","Շպարի խորհրդատվություն","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"182","Bridal Hair","Свадебная прическа","Հարսանեկան սանրվածք","Wedding hair styling","Свадебная прическа","Հարսանեկան սանրվածք","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"183","Bridal Makeup","Свадебный макияж","Հարսանեկան շպար","Wedding makeup","Свадебный макияж","Հարսանեկան շպար","2026-01-29 14:48:34.357","2026-01-29 14:48:34.357"
"184","Oil Change","Замена масла","յուղ փոփոխություն","Change engine oil","Замена моторного масла","Մոտորի ձեթի փոփոխություն","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"185","Brake Pad Replacement","Замена тормозных колодок","Ազդանշանի բեռնակների փոխարինում","Replace brake pads","Замена тормозных колодок","Ազդանշանի բեռնակների փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"186","Brake Fluid Change","Замена тормозной жидкости","Ազդանշանի հեղուկի փոփոխություն","Change brake fluid","Замена тормозной жидкости","Ազդանշանի հեղուկի փոփոխություն","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"187","Tire Replacement","Замена шин","Երկարող/Փոխարինման անվադող","Replace tires","Замена шин","Անվադողերի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"188","Tire Rotation","Поворот шин","Անվադողերի պտույտ","Rotate tires","Поворот шин","Անվադողերի պտույտ","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"189","Wheel Alignment","Развал-схождение","Բաժանման տեղադրում","Align wheels","Развал-схождение","Բաժանման տեղադրում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"190","Battery Replacement","Замена аккумулятора","Մարտկոցի փոխարինում","Replace battery","Замена аккумулятора","Մարտկոցի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"191","Car Wash","Мойка машины","Մեքենայի լվացում","Wash car","Мойка машины","Մեքենայի լվացում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"192","Interior Cleaning","Чистка салона","Ներքին մաքրում","Clean interior","Чистка салона","Ներքին մաքրում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"193","Engine Diagnostics","Диагностика двигателя","Շարժիչի ախտորոշում","Engine check","Диагностика двигателя","Շարժիչի ախտորոշում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"194","Air Filter Replacement","Замена воздушного фильтра","Օդային ֆիլտրի փոխարինում","Replace air filter","Замена воздушного фильтра","Օդային ֆիլտրի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"195","Oil Filter Replacement","Замена масляного фильтра","Ձեթի ֆիլտրի փոխարինում","Replace oil filter","Замена масляного фильтра","Ձեթի ֆիլտրի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"196","Coolant Replacement","Замена охлаждающей жидкости","Թարմացնող հեղուկի փոխարինում","Replace coolant","Замена охлаждающей жидкости","Թարմացնող հեղուկի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"197","Transmission Fluid Change","Замена трансмиссионной жидкости","Անցման հեղուկի փոփոխություն","Change transmission fluid","Замена трансмиссионной жидкости","Անցման հեղուկի փոփոխություն","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"198","Spark Plug Replacement","Замена свечей зажигания","Հրթռակների փոխարինում","Replace spark plugs","Замена свечей зажигания","Հրթռակների փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"199","Headlight Replacement","Замена фар","Գլխային լուսարձակների փոխարինում","Replace headlights","Замена фар","Գլխային լուսարձակների փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"200","Tail Light Replacement","Замена задних фонарей","Փոխարինում հետևի լույսերի","Replace tail lights","Замена задних фонарей","Փոխարինում հետևի լույսերի","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"201","Windshield Repair","Ремонт лобового стекла","Մառախուղի ապակու նորոգում","Repair windshield","Ремонт лобового стекла","Մառախուղի ապակու նորոգում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"202","Windshield Replacement","Замена лобового стекла","Մառախուղի ապակու փոխարինում","Replace windshield","Замена лобового стекла","Մառախուղի ապակու փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"203","Wiper Replacement","Замена дворников","Ձմեռային փչակների փոխարինում","Replace wipers","Замена дворников","Ձմեռային փչակների փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"204","AC Recharge","Заправка кондиционера","Օդ кондиցիոների լիցքավորում","Recharge AC","Заправка кондиционера","Օդ кондиցիոների լիցքավորում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"205","AC Filter Replacement","Замена фильтра кондиционера","Օդ кондиցիոների ֆիլտրի փոխարինում","Replace AC filter","Замена фильтра кондиционера","Օդ кондиցիոների ֆիլտրի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"206","AC Repair","Ремонт кондиционера","Օդ кондиցիոների նորոգում","Repair AC","Ремонт кондиционера","Օդ кондиցիոների նորոգում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"207","Fuel Filter Replacement","Замена топливного фильтра","Վառելիքի ֆիլտրի փոխարինում","Replace fuel filter","Замена топливного фильтра","Վառելիքի ֆիլտրի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"208","Timing Belt Replacement","Замена ремня ГРМ","Ժամանակային պահապանի փոխարինում","Replace timing belt","Замена ремня ГРМ","Ժամանակային պահապանի փոխարինում","2026-01-29 14:50:21.445","2026-01-29 14:50:21.445"
"209","Suspension Repair","Ремонт подвески","Զսպման համակարգի նորոգում","Fix suspension system","Ремонт подвески","Զսպման համակարգի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"210","Shock Absorber Replacement","Замена амортизаторов","Ամորտիզատորների փոխարինում","Replace shock absorbers","Замена амортизаторов","Ամորտիզատորների փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"211","Strut Replacement","Замена стоек","Պատի ամրացուցիչների փոխարինում","Replace struts","Замена стоек","Պատի ամրացուցիչների փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"212","CV Joint Replacement","Замена шарниров CV","CV համատեղ փոխարինում","Replace CV joints","Замена шарниров CV","CV համատեղի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"213","Axle Repair","Ремонт оси","Աքսլի նորոգում","Fix axle","Ремонт оси","Աքսլի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"214","Steering System Repair","Ремонт рулевого управления","Ղեկավարման համակարգի նորոգում","Repair steering system","Ремонт рулевого управления","Ղեկավարման համակարգի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"215","Power Steering Fluid Change","Замена жидкости гидроусилителя","Էլեկտրահիդրավլիկ հեղուկի փոփոխություն","Change power steering fluid","Замена жидкости гидроусилителя","Էլեկտրահիդրավլիկ հեղուկի փոփոխություն","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"216","Brake Disc Replacement","Замена тормозного диска","Ազդանշանի սկավառակների փոխարինում","Replace brake discs","Замена тормозного диска","Ազդանշանի սկավառակների փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"217","Brake Caliper Replacement","Замена тормозного суппорта","Ազդանշանի կալիպերի փոխարինում","Replace brake calipers","Замена тормозного суппорта","Ազդանշանի կալիպերի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"218","Handbrake Adjustment","Регулировка ручного тормоза","Ձեռնափակ թարմացում","Adjust handbrake","Регулировка ручного тормоза","Ձեռնափակ թարմացում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"219","Engine Tune-up","Техническое обслуживание двигателя","Շարժիչի տեխնիկական սպասարկում","Tune engine for performance","Техническое обслуживание двигателя","Շարժիչի տեխնիկական սպասարկում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"220","Fuel Injector Cleaning","Чистка форсунок","Վառելիքի ինյեկտորների մաքրում","Clean fuel injectors","Чистка форсунок","Վառելիքի ինյեկտորների մաքրում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"221","Turbocharger Repair","Ремонт турбокомпрессора","Տուրբո չարջի նորոգում","Repair turbocharger","Ремонт турбокомпрессора","Տուրբո չարջի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"222","Radiator Replacement","Замена радиатора","Ռադիատորի փոխարինում","Replace radiator","Замена радиатора","Ռադիատորի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"223","Water Pump Replacement","Замена водяного насоса","Ջրի պոմպի փոխարինում","Replace water pump","Замена водяного насоса","Ջրի պոմպի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"224","Thermostat Replacement","Замена термостата","Թերմոստատի փոխարինում","Replace thermostat","Замена термостата","Թերմոստատի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"225","Clutch Replacement","Замена сцепления","Կլուչի փոխարինում","Replace clutch","Замена сцепления","Կլուչի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"226","Gearbox Repair","Ремонт коробки передач","Անցման տուփի նորոգում","Repair gearbox","Ремонт коробки передач","Անցման տուփի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"227","Differential Repair","Ремонт дифференциала","Դիֆերենցիալի նորոգում","Repair differential","Ремонт дифференциала","Դիֆերենցիալի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"228","Exhaust System Repair","Ремонт выхлопной системы","Ելքային համակարգի նորոգում","Repair exhaust system","Ремонт выхлопной системы","Ելքային համակարգի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"229","Muffler Replacement","Замена глушителя","Մֆլերի փոխարինում","Replace muffler","Замена глушителя","Մֆլերի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"230","Battery Testing","Тестирование аккумулятора","Մարտկոցի թեստավորում","Test battery performance","Тестирование аккумулятора","Մարտկոցի թեստավորում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"231","Alternator Repair","Ремонт генератора","Ալտերնատորի նորոգում","Repair alternator","Ремонт генератора","Ալտերնատորի նորոգում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"232","Starter Motor Replacement","Замена стартера","Ստարտերի փոխարինում","Replace starter motor","Замена стартера","Ստարտերի փոխարինում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"233","Car Diagnostics","Компьютерная диагностика","Ավտոմեքենայի ախտորոշում","Full car diagnostics","Компьютерная диагностика","Ավտոմեքենայի ախտորոշում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"234","OBD Scanning","Сканирование OBD","OBD սկանավորում","Check engine codes","Сканирование OBD","OBD սկանավորում","2026-01-29 14:51:14.308","2026-01-29 14:51:14.308"
"235","Car Polishing","Полировка автомобиля","Մեքենայի փայլեցում","Polish car exterior","Полировка автомобиля","Մեքենայի փայլեցում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"236","Paint Correction","Коррекция краски","Փրփրային ներկի շտկում","Correct paint imperfections","Коррекция краски","Ներկի շտկում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"237","Scratch Removal","Удаление царапин","Սեղմումների հեռացում","Remove scratches from body","Удаление царапин","Սեղմումների հեռացում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"238","Ceramic Coating","Керамическое покрытие","Կերամիկական ծածկույթ","Apply ceramic coating","Керамическое покрытие","Կերամիկական ծածկույթ","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"239","Car Waxing","Воск для автомобиля","Մեքենայի վաքս","Wax car exterior","Воск для автомобиля","Մեքենայի վաքս","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"240","Engine Bay Cleaning","Чистка моторного отсека","Շարժիչի հատվածի մաքրում","Clean engine bay","Чистка моторного отсека","Շարժիչի հատվածի մաքրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"241","Interior Vacuuming","Пылесос салона","Ներքին վակուում","Vacuum car interior","Пылесос салона","Ներքին վակուում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"242","Leather Cleaning","Чистка кожи","Կաշվի մաքրում","Clean leather seats","Чистка кожи","Կաշվի մաքրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"243","Leather Conditioning","Уход за кожей","Կաշվի խնամք","Condition leather seats","Уход за кожей","Կաշվի խնամք","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"244","Upholstery Cleaning","Чистка обивки","Ներքին նստատեղերի մաքրում","Clean fabric seats","Чистка обивки","Ներքին նստատեղերի մաքրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"245","Carpet Shampoo","Шампунь ковров","Գորգերի շամպուն","Shampoo interior carpets","Шампунь ковров","Գորգերի շամպուն","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"246","Odor Removal","Удаление запаха","Հոտերի հեռացում","Remove car odors","Удаление запаха","Հոտերի հեռացում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"247","Windshield Polishing","Полировка стекла","Մառախուղի ապակիի փայլեցում","Polish windshield","Полировка стекла","Մառախուղի ապակիի փայլեցում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"248","Headlight Restoration","Восстановление фар","Գլխային լուսարձակների վերականգնում","Restore headlight clarity","Восстановление фар","Գլխային լուսարձակների վերականգնում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"249","Glass Coating","Покрытие стекла","Ապակի ծածկույթ","Apply protective glass coating","Покрытие стекла","Ապակի ծածկույթ","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"250","Winter Tire Installation","Установка зимних шин","Ձմեռային անվադողերի տեղադրում","Install winter tires","Установка зимних шин","Ձմեռային անվադողերի տեղադրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"251","Summer Tire Installation","Установка летних шин","Ամառային անվադողերի տեղադրում","Install summer tires","Установка летних шин","Ամառային անվադողերի տեղադրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"252","Tire Balancing","Балансировка шин","Անվադողերի հավասարակշռում","Balance tires","Балансировка шин","Անվադողերի հավասարակշռում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"253","Wheel Cleaning","Чистка дисков","Անվադողերի լվացում","Clean wheels","Чистка дисков","Անվադողերի լվացում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"254","Underbody Wash","Мойка днища","Ավտոմեքենայի ստորին լվացում","Wash car underbody","Мойка днища","Ավտոմեքենայի ստորին լվացում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"255","Battery Terminal Cleaning","Чистка клемм аккумулятора","Մարտկոցի տերմինալների մաքրում","Clean battery terminals","Чистка клемм аккумулятора","Մարտկոցի տերմինալների մաքրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"256","Corrosion Removal","Удаление коррозии","Կոռոզիայի հեռացում","Remove rust/corrosion","Удаление коррозии","Կոռոզիայի հեռացում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"257","Fuel System Cleaning","Чистка топливной системы","Վառելիքի համակարգի մաքրում","Clean fuel system","Чистка топливной системы","Վառելիքի համակարգի մաքրում","2026-01-29 14:52:14.172","2026-01-29 14:52:14.172"
"258","ECU Tuning","Настройка ЭБУ","ECU-ի կարգավորում","Engine control unit tuning","Настройка ЭБУ","Շարժիչի կառավարման միավորի կարգավորում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"259","Performance Chip Installation","Установка чипа производительности","Գործունակության չիպի տեղադրում","Install performance chip","Установка чипа производительности","Գործունակության չիպի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"260","Turbo Upgrade","Установка турбины","Տուրբո բարձրացում","Upgrade turbocharger","Установка турбины","Տուրբո բարձրացում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"261","Exhaust Upgrade","Улучшение выхлопной системы","Ելքային համակարգի բարելավում","Upgrade exhaust system","Улучшение выхлопной системы","Ելքային համակարգի բարելավում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"262","Suspension Tuning","Тюнинг подвески","Զսպման համակարգի թունինգ","Tune suspension for performance","Тюнинг подвески","Զսպման համակարգի թունինգ","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"263","Brake Upgrade","Улучшение тормозов","Ազդանշանի բարելավում","Upgrade brake system","Улучшение тормозов","Ազդանշանի բարելավում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"264","Clutch Upgrade","Улучшение сцепления","Կլուչի բարելավում","Install high-performance clutch","Улучшение сцепления","Կլուչի բարելավում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"265","Car Audio Installation","Установка аудиосистемы","Աուդիո համակարգի տեղադրում","Install car audio system","Установка аудиосистемы","Աուդիո համակարգի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"266","Subwoofer Installation","Установка сабвуфера","Սաբվուֆերի տեղադրում","Install subwoofer","Установка сабвуфера","Սաբվուֆերի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"267","Speaker Replacement","Замена динамиков","Բարձրախոսների փոխարինում","Replace car speakers","Замена динамиков","Բարձրախոսների փոխարինում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"268","Amplifier Installation","Установка усилителя","Անվահաշվի տեղադրում","Install amplifier","Установка усилителя","Անվահաշվի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"269","Car Alarm Installation","Установка сигнализации","Ավտո ազդանշանի տեղադրում","Install car alarm system","Установка сигнализации","Ավտո ազդանշանի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"270","GPS Tracker Installation","Установка GPS трекера","GPS հետեւորդի տեղադրում","Install GPS tracker","Установка GPS трекера","GPS հետեւորդի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"271","LED Light Upgrade","Улучшение светодиодов","LED լույսերի բարելավում","Upgrade LED lights","Улучшение светодиодов","LED լույսերի բարելավում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"272","Ambient Lighting Installation","Установка интерьерной подсветки","Ներքին լուսավորության տեղադրում","Install ambient interior lights","Установка интерьерной подсветки","Ներքին լուսավորության տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"273","Dashboard Electronics Upgrade","Апгрейд электроники панели приборов","Վահանակի էլեկտրոնիկայի թարմացում","Upgrade dashboard electronics","Апгрейд электроники панели приборов","Վահանակի էլեկտրոնիկայի թարմացում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"274","OBD2 Monitoring Installation","Установка системы мониторинга OBD2","OBD2 մոնիթորինգի տեղադրում","Install OBD2 monitoring system","Установка системы мониторинга OBD2","OBD2 մոնիթորինգի տեղադրում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"275","Window Tinting","Тонировка стекол","Ապակու մուգացում","Tint car windows","Тонировка стекол","Ապակու մուգացում","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"276","Paint Protection Film","Защитная пленка для краски","Ներկի պաշտպանիչ ֆիլմ","Apply paint protection film","Защитная пленка для краски","Ներկի պաշտպանիչ ֆիլմ","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"277","Vinyl Wrap","Виниловая пленка","Վինիլային ծածկույթ","Apply vinyl wrap","Виниловая пленка","Վինիլային ծածկույթ","2026-01-29 14:53:59.454","2026-01-29 14:53:59.454"
"278","Plumbing Repair","Ремонт сантехники","Վտարման աշխատանք","Fix plumbing issues","Ремонт сантехники","Վտարման աշխատանք","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"279","Electrical Repair","Ремонт электрооборудования","Էլեկտրական նորոգում","Fix electrical systems","Ремонт электрооборудования","Էլեկտրական նորոգում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"280","Door Repair","Ремонт дверей","Դռների նորոգում","Repair doors","Ремонт дверей","Դռների նորոգում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"281","Window Repair","Ремонт окон","Մանրախոտի նորոգում","Repair windows","Ремонт окон","Մանրախոտի նորոգում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"282","Furniture Assembly","Сборка мебели","Կահույքի հավաքում","Assemble furniture","Сборка мебели","Կահույքի հավաքում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"283","Haircut","Стрижка","Սանրվածք","Cut hair","Стрижка волос","Մազերի կտրում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"284","Hair Styling","Укладка волос","Մազերի հարդարում","Style hair","Укладка волос","Մազերի հարդարում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"285","Hair Coloring","Окрашивание волос","Մազերի ներկում","Color hair","Окрашивание волос","Մազերի ներկում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"286","Manicure","Маникюр","Մատնահարդարում","Nail manicure","Маникюр","Մատնահարդարում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"287","Pedicure","Педикюр","Ոտնահարդարում","Foot pedicure","Педикюр","Ոտնահարդարում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"288","Facial Cleaning","Чистка лица","Դեմքի մաքրում","Clean facial skin","Чистка лица","Դեմքի մաքրում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"289","Makeup","Макияж","Շպարում","Apply makeup","Макияж","Շպարում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"290","Waxing Legs","Восковая депиляция ног","Գոտկատեղի մոմահանում","Wax leg hair","Восковая депиляция ног","Բազկաթաթի մոմահանում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"291","Waxing Arms","Восковая депиляция рук","Ձեռքերի մոմահանում","Wax arm hair","Восковая депиляция рук","Ձեռքերի մոմահանում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"292","Microblading","Микроблейдинг","Միկրոբլեյդինգ","Semi-permanent eyebrow tattoo","Микроблейдинг","Միկրոբլեյդինգ","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"293","Chemical Peel","Химический пилинг","Քիմիական պիլինգ","Chemical facial peel","Химический пилинг","Քիմիական դեմքի պիլինգ","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"294","Bridal Makeup","Свадебный макияж","Հարսանեկան շպար","Bridal makeup","Свадебный макияж","Հարսանեկան շպար","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"295","Oil Change","Замена масла","Ձեթի փոփոխություն","Change engine oil","Замена моторного масла","Մոտորի ձեթի փոփոխություն","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"296","Brake Pad Replacement","Замена тормозных колодок","Ազդանշանի բեռնակների փոխարինում","Replace brake pads","Замена тормозных колодок","Ազդանշանի բեռնակների փոխարինում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"297","Tire Replacement","Замена шин","Փոխարինման անվադող","Replace tires","Замена шин","Անվադողերի փոխարինում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"298","Battery Replacement","Замена аккумулятора","Մարտկոցի փոխարինում","Replace battery","Замена аккумулятора","Մարտկոցի փոխարինում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"299","Suspension Repair","Ремонт подвески","Զսպման համակարգի նորոգում","Fix suspension system","Ремонт подвески","Զսպման համակարգի նորոգում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
